controller,severity,MAP RMSE (mmHg)_mean,MAP RMSE (mmHg)_std,MAP RMSE (mmHg)_count,Unsafe Event Rate (%)_mean,Unsafe Event Rate (%)_std,Unsafe Event Rate (%)_count,MAP RMSE (mmHg)_sem,MAP RMSE (mmHg)_ci95,Unsafe Event Rate (%)_sem,Unsafe Event Rate (%)_ci95
Proposed CNN-Transformer,Mild,4.961658550683803,1.1785409770950344,250,3.537388154068169,1.250847186727772,250,0.07453747606921282,0.14609345309565713,0.07911052229747398,0.15505662370304898
Proposed CNN-Transformer,Moderate,5.385683227390627,1.160546102450749,250,4.185088434150105,1.254772839259364,250,0.07339938026750974,0.1438627853243191,0.07935880236351871,0.15554325263249666
Proposed CNN-Transformer,Severe,5.988204475062864,1.228799990058858,250,5.01367859476923,1.326530833564748,250,0.07771613514756506,0.15232362488922752,0.08389717641012683,0.16443846576384857
Proposed CNN-Transformer,Advanced,6.728784430593359,1.3417629714252406,250,5.853539509829852,1.3188222732800643,250,0.08486054139558363,0.16632666113534392,0.0834096442505205,0.16348290273102017
Fixed-speed baseline,Mild,11.851205624906607,2.6894559158587787,250,14.796495393891385,3.2991020986227677,250,0.1700961272145581,0.3333884093405339,0.20865353730178793,0.40896093311150433
Fixed-speed baseline,Moderate,13.156686127741585,2.78751432752663,250,16.482973923529023,3.5419845828470167,250,0.1762978857067349,0.34554385598520043,0.22401477437995876,0.43906895778471916
Fixed-speed baseline,Severe,14.852994883924575,2.7672914283903194,250,18.729168252440314,3.825342447676282,250,0.17501887726348303,0.34303699943642674,0.24193589929561068,0.47419436261939696
Fixed-speed baseline,Advanced,16.53278018214455,2.9800490120433745,250,21.13698546093214,3.7856068635525006,250,0.18847484833983225,0.3694107027460712,0.23942280029584317,0.4692686885798526
