controller,MAP RMSE (mmHg)_mean,MAP RMSE (mmHg)_std,MAP RMSE (mmHg)_count,Flow RMSE (L/min)_mean,Flow RMSE (L/min)_std,Flow RMSE (L/min)_count,Settling time (s)_mean,Settling time (s)_std,Settling time (s)_count,Unsafe event rate (%)_mean,Unsafe event rate (%)_std,Unsafe event rate (%)_count,MAP RMSE (mmHg)_sem,MAP RMSE (mmHg)_ci95,Flow RMSE (L/min)_sem,Flow RMSE (L/min)_ci95,Settling time (s)_sem,Settling time (s)_ci95,Unsafe event rate (%)_sem,Unsafe event rate (%)_ci95,Composite score
Proposed CNN-Transformer PPO,3.1862597013458824,0.28158931675092597,12,0.26620151418672416,0.012490646810536372,12,6.511828038426793,0.4117663098307862,12,2.9750468028670514,0.16578545622869265,12,0.08128783391353496,0.1789133161396803,0.0036057391492078576,0.00793617835856777,0.11886669491201164,0.26162383153047214,0.04785813889068031,0.10533505348798955,100.0
TD3,4.731811107598575,0.32374974553142993,12,0.4443336600180305,0.028125245425815723,12,10.204310162509815,0.6277797042333171,12,5.893858266768453,0.4662656844692497,12,0.09345850136632196,0.2057007745916742,0.0081190590088095,0.017869928392297642,0.18122439061544465,0.3988721943912353,0.13459930922110322,0.2962510821542273,63.363022547575056
DDPG,5.580136697218656,0.43075607790076376,12,0.5194032067329307,0.032909901029416724,12,11.58259864677302,0.8233977927873386,12,7.575802935458316,0.5999513870415977,12,0.12434856876553668,0.27368935453157484,0.009500270109168844,0.020909953527142335,0.23769446865795682,0.5231619981520185,0.17319104740457789,0.38119092519819503,45.93222108004041
Reference DRL VAD controller,5.21884306761796,0.3240042050938258,12,0.47191501265276364,0.03365249955429339,12,11.261433082995906,0.5073777636195553,12,6.7929384522035,0.6145060191897843,12,0.09353195751474554,0.20586245048427199,0.009714639838287525,0.021381778119705406,0.1464673442032903,0.32237245102946893,0.17739260779893368,0.39043849727540064,53.75529240727501
Model predictive control,5.126124342098655,0.3279187607198172,12,0.4537978191218463,0.016850362398447075,12,9.550228368512421,0.4467675425673922,12,6.223295980181736,0.41661358370073126,12,0.09466199238695747,0.20834964046839644,0.004864280633343083,0.010706209488509047,0.12897068048323573,0.2838625538305159,0.12026598234883594,0.264703642413625,61.259669879013956
Starling-like control,6.469603794955625,0.3231138299113749,12,0.5814968884259937,0.04471399747558843,12,12.967418706415108,1.1915072064605365,12,8.964663582270278,0.5634848588989368,12,0.09327492833911162,0.20529673308299118,0.012907819239537613,0.028409918595366998,0.3439585031956849,0.7570475612210181,0.16266406748478976,0.35802119861415915,29.830048661544833
Fuzzy control,7.086036478421218,0.31650983733479215,12,0.6554739408802959,0.045540978890617576,12,14.763620809129721,1.1812059506227306,12,10.238609758802394,0.9638785717998287,12,0.09136851989320346,0.20110075638447406,0.013146548210828562,0.02893535751846231,0.34098478678021066,0.7505024555202386,0.2782477764473716,0.6124192267891471,13.921218114564326
PI control,7.549487598940647,0.41301227085443953,12,0.7096143890053107,0.047112606990598195,12,16.457972652366188,1.9709759172505832,12,11.603442522238206,0.8494160791393853,12,0.11922637287821465,0.2624154773964969,0.013600238164123457,0.02993392237294702,0.5689717381954469,1.2522983522796958,0.2452053009725603,0.5396932286163971,0.0
